Nome_Società,ID_Squadra,prima inviolata,filotto iniziale,prima goleada,finalista di conference,primi passi,primo punto,primo scambio,biglietto per la conference,salvezza raggiunta,top 10,coppa f20: fase finale,veterano 1,senza paura,cinque su cinque,ammazzagrandi,bestia nera,re di conference,finalista di europa league,manita,biglietto per l'europa league,schiacciasassi,top 5,coppa f20: trentaduesimi,veterano 2,re di europa league,eroico,finalista di champions,fortino,promozione,talent scout,goleador,biglietto per la champions,miracolo,coppa f20: ottavi,coppa f20: sedicesimi,podio,dieci e lode,re di champions,fenice,finalista di coppa f20,olimpo,veterano 3,campione di serie a,campione di serie b,campione di serie c,re della coppa f20,double,rosa perfetta,bis nazionale,grand slam,triplete,tutta europa,Custode,Dannato,Titano,Trafitto,Abisso,Mecenate,Devastatore,Dominatore,Mercante,Sovrano
Hellas Terronia,14,,,,,,,,,,X,X,,,,,,,X,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATERASSUOLO,15,,,,,,,,,,X,,,,,,,,,,X,,X,,,,,,,X,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Cremonelle,16,,,,,,,,X,,X,,,,,,,,X,,X,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napoleoni,17,,,,X,,,,X,,,X,X,,,,,X,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FiorenToni Pepperoni,18,,,,,,,,X,,X,X,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
VenEzio Greggio Fc,19,,,,,,,,,,X,,,,,,,,,,X,,X,,,,,,,X,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOREGGIANA,20,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,X,,,X,,,,X,,X,,,,,,X,,,X,,,,,,,,,,,,,,,
u sole u mare Uventus,21,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fel-Lazio,22,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genoasis,23,,,,X,,,,X,,X,X,X,,,,,,,,,,X,X,,,,,,,,,X,,,X,X,,,,,,,X,,,,,,,,,,,,,,,,,,,
Barisa,24,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Licorto Muso FC,25,,,,,,,,,,,X,,,,,,,,,,,X,X,,,,,,X,,,X,,X,X,,,,,X,X,,,,,,,,,,,,,,,,,,,,,
PalerMavai Ma vieni Ma chi sono,26,,,,,,,,,,X,X,,,,,,,,,X,,X,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea e Giugliano,27,,,,,,,,,,X,X,,,,,,,,,,,X,X,,,,X,,X,,,X,,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,
Ospitaletto,28,,,,,,,,,,X,X,,,,,,,,,,,X,X,,,,X,,X,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
PESCARAMUCCIA,29,,,,,,,,,,X,X,,,,,,,X,,X,,X,X,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacarpi Schitz,30,,,,,,,,,,X,X,,,,,,,,,,,X,X,,,,,,X,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
Mantovai,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROSILVIONE,32,,,,,,,,,,,X,,,,,,,,,X,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monzarella e Pomodoro,33,,,,,,,,,,X,X,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juve Scabbia,34,,,,,,,,X,,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PadoVainCul,35,,,,,,,,X,,X,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spezial One,36,,,,X,,,,X,,,X,,,,,,X,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMPOLIZIA MUNICIPALE,37,,,,X,,,,X,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTAnzaro,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC CESENARTICO,39,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtus Entella,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fc TiramiSudtirol,41,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LanaRhoades Vicenza,42,,,,,,,,,,X,X,,,,,,,,,X,,,X,,,,,,,,,,,X,X,,,,,X,,,,,,X,,,,,,,,,,,,,,,,
SCARENATE L INFERNO,43,,,,,,,,,,X,,,,,,,,,,,,X,,,,,X,,,,,X,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,
Ciolone Milano,44,,,,,,,,,,X,X,,,,,,,,,,,X,X,,,,,,,,,X,,X,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,
El Dolomitazo,45,,,,,,,,,,X,X,,,,,,,,,,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
CITTASNELLA,46,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtus Corona,47,,,,,,,,,,X,X,,,,,,,,,,,,X,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albanoleffe,48,,,,,,,,,,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS Pizza Erminio,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lecco,50,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communion Brescia,51,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,
Aurora Pro Patriarcato,52,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
next Gengis Khan,53,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Tarzanelli,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triest-In Peace,55,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC Arzignano VAcchiappo,56,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lumezzane,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novara,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PergoleTette,59,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trento,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGNELLINO,61,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORLIPPO INZAGHI,62,,,,,,,,,,X,X,,,,,,,,,,,X,X,,,,X,,,,,X,,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,
Campobasta,63,,,,,,,,,,X,X,,,,,,,,,,,X,X,,,,X,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
PONTEDERA,64,,,,,,,,,,X,X,,,,,,,,,,,X,X,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
GubbioDSQ,65,,,,,,,,,,X,X,,,,,,,,,,,,X,,,,,,,,,X,,X,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Ravengers FC,66,,,,,,,,,,X,X,,,,,,,X,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascoli,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREZZENAL,68,,,,,,,,,,X,X,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guidonia Montecelio,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PineTonic,70,,,,,,,,,,,X,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac Bra,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEsaROTTI,72,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rimiccoli,73,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ternani,74,,,,X,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perugia,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torres,76,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pianese,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterUn 23,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NasPicerno,79,,,,,,,,,,X,X,,,,,,,,,,,X,X,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
SiracUSA,80,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampdodoria,81,,,,X,,,,X,,X,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sambenedetta Domenica,82,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassarano,83,,,,,,,,,,X,X,,,,,,,,,X,,,X,,,,,,,,,,,X,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Monopoly,84,,,,,,,,,,X,X,,,,,,,,,,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Croton Fioc,85,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Kakasertana,86,,,,,,,,,,X,X,,,,,,,X,,X,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrarese,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIANCAVESE,88,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,X,,X,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Benevengo,89,,,,,,,,,,,X,,,,,,,X,,X,,,X,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
acCattania,90,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US LATTINA CALCIO 1932,91,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Audace Cerignola,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SorrEnd,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trapani,94,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vosenza,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATATA-LANTA UN23,96,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTAMOURINHO,97,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foggia,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salernitana,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Con mollica o senza,100,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
